register_id,tool_or_processing,provider_or_recipient,category,status,deployment_scope,purpose,data_categories,data_subjects,trigger_startpoint,recipient_region,transfer_note,legal_basis,consent_status,dpa_avv_status,privacy_text_status,retention_logic,owner,next_review_trigger,notes
BCL-001,Website-Hosting,GitHub Pages / GitHub,Hosting,ACTIVE,gesamte Website,Bereitstellung der Website Stabilitaet Sicherheit,IP-Adresse Abrufdaten Browser Zeitstempel technische Logdaten,Website-Besucher,Seitenaufruf,Drittland / internationaler Anbieter,US-/Drittlandbezug moeglich Anbieterunterlagen beachten,berechtigtes Interesse an sicherer Bereitstellung,nein,zu pruefen,erfasst,nach Hosting-/Providerlogik extern nicht voll steuerbar,Dominic,Hosting-Wechsel CDN-/Script-Aenderung neue Logik,Baseline aus Compliance-Pack und Datenschutztext
BCL-002,Kontaktformular-Verarbeitung,Formspree,Formular,ACTIVE,Hauptformular auf Website,strukturierte Anfrageannahme und Weiterleitung,Name E-Mail Telefon/WhatsApp optional Thema bevorzugter Rueckweg Nachricht technische Uebermittlungsdaten,Interessenten / Leads,Formular-Submit,Drittland / internationaler Anbieter,Drittlandbezug moeglich Anbieterunterlagen und DPA separat dokumentieren,vorvertragliche Massnahmen / Anfragebearbeitung hilfsweise berechtigtes Interesse,nein fuer reine Kontaktabwicklung offen bei Tracking/Add-ons,offen,erfasst,bis Bearbeitung und danach nach betrieblicher Loeschlogik,Dominic,neue Felder Datei-Upload CRM-Anbindung Autoresponder Spam-Schutz,staerkster aktueller strukturierter Lead-Prozessor
BCL-003,Direkte E-Mail-Kommunikation,Mailprovider von Dominic plus beteiligte Mailserver,Kontaktkanal,ACTIVE,mailto-Links / direkte Kontaktaufnahme,individuelle Kommunikation Anfragebearbeitung,E-Mail-Adresse Nachricht Signaturen freiwillige Zusatzangaben,Interessenten / Leads / Kunden,direkte Kontaktaufnahme,EU oder Drittland je nach Mailrouting/Provider,abhaengig vom konkret genutzten Mailstack,vorvertragliche Massnahmen / berechtigtes Interesse,nicht anwendbar,offen,erfasst auf Kanalebene Providerdetails ggf. nachziehen,nach Mailarchiv-/Postfachlogik,Dominic,Providerwechsel Shared Inbox Helpdesk CRM-Sync,als echter Kanal gefuehrt auch wenn Providerdetails noch offen sind
BCL-004,Telefonkontakt,Telefonanbieter / Netzbetreiber,Kontaktkanal,ACTIVE,Click-to-call / direkter Anruf,direkte Kommunikation und Rueckruf,Telefonnummer Gespraechsnotizen Zeitpunkte,Interessenten / Leads / Kunden,direkte Kontaktaufnahme,EU oder Drittland unklar je nach Carrier,carrier-abhaengig hier nicht weiter ausdokumentiert,vorvertragliche Massnahmen / berechtigtes Interesse,nicht anwendbar,nicht noetig fuer reinen Kanal soweit kein externer Call-Center-Dienst,erfasst auf Kanalebene,nach betrieblicher Kontakt- und Notizlogik,Dominic,Call-Tracking virtuelle Telefonanlage Recording externe Weiterleitung,wenn Recording oder VoIP-SaaS dazukommt neuer Eintrag noetig
BCL-005,WhatsApp-Kontakt,WhatsApp / Meta,Kontaktkanal,ACTIVE,wa.me-Links und laufende Chats,niedrigschwellige Kommunikation,Telefonnummer Profil-/Kommunikationsdaten Nachrichteninhalte Meta-/Link-Metadaten,Interessenten / Leads / Kunden,nach Klick / bei Nutzung des Kanals,Drittland / internationaler Anbieter,Meta-/Drittlandbezug beachten,vorvertragliche Massnahmen / berechtigtes Interesse bei freiwilliger Kanalnutzung,nicht anwendbar fuer blossen Link keine Website-Consent-Pflicht ersichtlich solange kein Embed/Widget laedt,nicht noetig als blosser externer Kanal keine AVV-Annahme,erfasst,nach Chatverlauf und betrieblicher Kommunikationslogik,Dominic,WhatsApp-Business-API CRM-Sync Chatbot Multi-Agent-Zugriff,sensible Daten aktiv vermeiden
BCL-006,Lokaler Website-FAQ-/Prefill-Chat,clientseitiges JS in Website,Chat / UX,ACTIVE,Website-Chat,Orientierung Vorqualifizierung ggf. Uebergabe ins Formular,aktuell keine automatische Persistenz nur bewusst uebernommene Frage bei Formularuebergabe,Website-Besucher,lokale Interaktion im Browser erst bei Uebernahme ins Formular wird es ein Lead,lokal im Browser kein separater externer Empfaenger erkennbar,kein externer Transfer erkennbar solange rein clientseitig,berechtigtes Interesse an UX / freiwillige Nutzerinteraktion,nein,nicht noetig solange kein externer Backend-Dienst,Update noetig falls Chat-Felder systematisch uebernommen werden,keine serverseitige Speicherung ersichtlich,Dominic,Backend-Anbindung Chat-Logs KI-API LocalStorage/Cookies Widget-Ersatz,bei echtem AI-/Support-Chat sofort ORANGE-Trigger
BCL-007,Manueller Lead-Transfer in zentrale Lead-Liste,intern / spaetere Source of Truth,Interner Prozess / CRM-light,APPROVED-NOT-LIVE,internes Lead-Management,alle ernsthaften Leads zentral erfassen und statusfaehig machen,Kontaktdaten Kanal Nachrichtsauszug Status Follow-up-Daten Notizen,Leads / Kunden,intern manuell nach Eingang,offen,abhaengig vom finalen Tool,vorvertragliche Massnahmen / berechtigtes Interesse an Vertriebsorganisation,nein bei rein internem Register Toolfrage separat bewerten,offen,vor Live anpassen,definierte Loesch- und Archivlogik vor Nutzung festlegen,Dominic,Auswahl des konkreten Systems Multiuser-Zugriff Automatisierung,Prozess gewuenscht Tool noch nicht final fixiert
BCL-101,Webanalyse cookiefrei/lightweight,noch offen zB Plausible / Simple Analytics / Matomo self-hosted,Analytics,UNDER-REVIEW,noch nicht eingebaut,Reichweitenmessung Seitenverstaendnis,IP oder gekuerzte IP Nutzungsdaten Seitenaufrufe Referrer UTM-Daten moeglich,Website-Besucher,Seitenaufruf,offen,Serverstandort und Cookie-Freiheit pruefen,pruefen,pruefen,offen,vor Live anpassen,anbieterabhaengig,Dominic,Toolentscheidung technische Einbindung Consent-Lage,nur mit sauberer Vorpruefung
BCL-102,Klassische Analytics-/Tag-Layer,GA4 / GTM oder aehnlich,Analytics / Tag Management,BLOCKED,noch nicht eingebaut,Marketing- und Verhaltensanalyse,Identifier Ereignisdaten Nutzungsprofile Referrer Geraeteinfos,Website-Besucher,Seitenaufruf,Drittland wahrscheinlich,Transfer und Consent streng pruefen,Einwilligung / ORANGE-Check wahrscheinlich,ja bzw sehr wahrscheinlich,offen,vor Live anpassen,anbieterabhaengig,Dominic,Consent-Mechanik DPA Transferlage,nicht ohne dokumentierte Freigabe
BCL-103,CRM / Pipeline-System,noch offen zB HubSpot / Pipedrive / Airtable / Notion / Google Sheets,CRM,UNDER-REVIEW,noch nicht eingebaut,Lead-Status Follow-ups Angebotsverfolgung,Kontaktdaten Kommunikationshistorie Pipeline-Status interne Notizen,Leads / Kunden,intern oder per Sync,offen,abhaengig vom finalen System,meist nein fuer reine interne Verarbeitung Tracking-Add-ons pruefen,pruefen,offen,vor Live anpassen,nach finalem System,Dominic,Systemwahl Zugriffsmodell Add-ons Loeschkonzept,einfach halten solange Volumen klein
